,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
14,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간']",0.9285091180991152,0.8875965772202375,0.9287560282065678,0.8873499347870516
10,"['총상환대출비율', '총상환원금', '총상환이자']",0.9218072806325205,0.8828611780343939,0.9224209058274502,0.8829618902747715
6,"['총상환대출비율', '대출기간']",0.8998739943782107,0.8708980643017363,0.900106777862079,0.8708908660227738
11,"['총상환대출비율', '총상환원금', '대출기간']",0.9062435093258007,0.8671595912602807,0.9064223395036132,0.8671224857174616
13,"['총상환원금', '총상환이자', '대출기간']",0.9047342112186544,0.8650826617928055,0.9047422095291909,0.864387369704917
12,"['총상환대출비율', '총상환이자', '대출기간']",0.8976169706033038,0.86134418875135,0.8977919901210328,0.8612243749691454
0,['총상환대출비율'],0.8842825295282405,0.8557780177785163,0.8847505022817073,0.855873466242196
4,"['총상환대출비율', '총상환원금']",0.8906105041609549,0.8515410816648666,0.8911748414791748,0.8517537206630817
5,"['총상환대출비율', '총상환이자']",0.8871349644830308,0.8505441555204786,0.8877073610845556,0.8507564399150085
7,"['총상환원금', '총상환이자']",0.8665863553912405,0.8200132923485919,0.866872157236031,0.8191561843176619
8,"['총상환원금', '대출기간']",0.6834904941912793,0.6278557780177785,0.6748254890393774,0.6122016269371734
1,['총상환원금'],0.6586216923524281,0.6056326327157929,0.6439681732976198,0.5837633101141444
9,"['총상환이자', '대출기간']",0.5570417757099932,0.4864584198720611,0.5399363357214635,0.45933895262825203
2,['총상환이자'],0.5278943214389565,0.46456758328487163,0.514527477791745,0.44452552940132
3,['대출기간'],0.34964483030781374,0.3456010633878874,0.25073574220234995,0.247669972631577
