,num_max_depth,train_accuracy,test_accuracy,train_f1,test_f1
0,6,0.8862903114138938,0.8681149788153194,0.8863878025578995,0.8679655528271154
1,7,0.9058696464919204,0.879579629475783,0.9060004566259152,0.8794054928552485
2,8,0.9249643445630651,0.8901304311705575,0.9250880263652691,0.8898985665195184
3,9,0.9387972694166355,0.8973996843067209,0.9389207727137667,0.8971879016750531
4,10,0.9507608801008045,0.9032150868156518,0.9508832909218706,0.9029965977500185
5,11,0.9583904512662873,0.9067458669103597,0.9585122537160093,0.9065104617680638
6,12,0.9639845470028663,0.9086566420204369,0.96409380699623,0.9084418349859694
7,13,0.9664769658954014,0.9102766470050677,0.966571801813837,0.9100670910860543
8,14,0.9682908929783021,0.9113566503281548,0.9683749280022639,0.9111444860445362
9,15,0.9691493928190642,0.9104843399518152,0.9692113540824461,0.9102938702888829
10,16,0.9696755701408216,0.9119381905790479,0.9697340382035589,0.9117377217683234
11,17,0.9700355862030767,0.9133920412062806,0.9700911498513111,0.9131915767914653
12,18,0.9702709813207051,0.9134335797956301,0.9703238343977436,0.9132390300113618
13,19,0.9705340699815838,0.9135997341530282,0.970586492985736,0.9134047822412198
14,20,0.9707279247843366,0.9137658885104262,0.9707780738192254,0.9135807586299073
